"Date","Source","Site ID","POC","Daily Max 8-hour CO Concentration","UNITS","DAILY_AQI_VALUE","Site Name","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"01/01/2020","AQS","410510080","1","0.1","ppm","1","Portland - SE Lafayette","18","75.0000","42101","Carbon monoxide","38900","Portland-Vancouver-Hillsboro, OR-WA","41","Oregon","051","Multnomah","45.496641","-122.602877"
"01/02/2020","AQS","410510080","1","0.1","ppm","1","Portland - SE Lafayette","24","100.0000","42101","Carbon monoxide","38900","Portland-Vancouver-Hillsboro, OR-WA","41","Oregon","051","Multnomah","45.496641","-122.602877"
"01/03/2020","AQS","410510080","1","0.2","ppm","2","Portland - SE Lafayette","24","100.0000","42101","Carbon monoxide","38900","Portland-Vancouver-Hillsboro, OR-WA","41","Oregon","051","Multnomah","45.496641","-122.602877"
"01/04/2020","AQS","410510080","1","0.1","ppm","1","Portland - SE Lafayette","24","100.0000","42101","Carbon monoxide","38900","Portland-Vancouver-Hillsboro, OR-WA","41","Oregon","051","Multnomah","45.496641","-122.602877"
"01/05/2020","AQS","410510080","1","0.1","ppm","1","Portland - SE Lafayette","24","100.0000","42101","Carbon monoxide","38900","Portland-Vancouver-Hillsboro, OR-WA","41","Oregon","051","Multnomah","45.496641","-122.602877"
"01/06/2020","AQS","410510080","1","0.1","ppm","1","Portland - SE Lafayette","17","71.0000","42101","Carbon monoxide","38900","Portland-Vancouver-Hillsboro, OR-WA","41","Oregon","051","Multnomah","45.496641","-122.602877"
"01/07/2020","AQS","410510080","1","0","ppm","0","Portland - SE Lafayette","24","100.0000","42101","Carbon monoxide","38900","Portland-Vancouver-Hillsboro, OR-WA","41","Oregon","051","Multnomah","45.496641","-122.602877"
"01/08/2020","AQS","410510080","1","0.2","ppm","2","Portland - SE Lafayette","24","100.0000","42101","Carbon monoxide","38900","Portland-Vancouver-Hillsboro, OR-WA","41","Oregon","051","Multnomah","45.496641","-122.602877"
"01/09/2020","AQS","410510080","1","0.2","ppm","2","Portland - SE Lafayette","24","100.0000","42101","Carbon monoxide","38900","Portland-Vancouver-Hillsboro, OR-WA","41","Oregon","051","Multnomah","45.496641","-122.602877"
"01/10/2020","AQS","410510080","1","0.2","ppm","2","Portland - SE Lafayette","24","100.0000","42101","Carbon monoxide","38900","Portland-Vancouver-Hillsboro, OR-WA","41","Oregon","051","Multnomah","45.496641","-122.602877"
"01/11/2020","AQS","410510080","1","0.1","ppm","1","Portland - SE Lafayette","24","100.0000","42101","Carbon monoxide","38900","Portland-Vancouver-Hillsboro, OR-WA","41","Oregon","051","Multnomah","45.496641","-122.602877"
"01/12/2020","AQS","410510080","1","0.1","ppm","1","Portland - SE Lafayette","24","100.0000","42101","Carbon monoxide","38900","Portland-Vancouver-Hillsboro, OR-WA","41","Oregon","051","Multnomah","45.496641","-122.602877"
"01/13/2020","AQS","410510080","1","0.1","ppm","1","Portland - SE Lafayette","24","100.0000","42101","Carbon monoxide","38900","Portland-Vancouver-Hillsboro, OR-WA","41","Oregon","051","Multnomah","45.496641","-122.602877"
"01/14/2020","AQS","410510080","1","0.2","ppm","2","Portland - SE Lafayette","24","100.0000","42101","Carbon monoxide","38900","Portland-Vancouver-Hillsboro, OR-WA","41","Oregon","051","Multnomah","45.496641","-122.602877"
"01/15/2020","AQS","410510080","1","0.3","ppm","3","Portland - SE Lafayette","24","100.0000","42101","Carbon monoxide","38900","Portland-Vancouver-Hillsboro, OR-WA","41","Oregon","051","Multnomah","45.496641","-122.602877"
"01/16/2020","AQS","410510080","1","0.8","ppm","9","Portland - SE Lafayette","24","100.0000","42101","Carbon monoxide","38900","Portland-Vancouver-Hillsboro, OR-WA","41","Oregon","051","Multnomah","45.496641","-122.602877"
"01/17/2020","AQS","410510080","1","0.9","ppm","10","Portland - SE Lafayette","24","100.0000","42101","Carbon monoxide","38900","Portland-Vancouver-Hillsboro, OR-WA","41","Oregon","051","Multnomah","45.496641","-122.602877"
"01/18/2020","AQS","410510080","1","0.2","ppm","2","Portland - SE Lafayette","24","100.0000","42101","Carbon monoxide","38900","Portland-Vancouver-Hillsboro, OR-WA","41","Oregon","051","Multnomah","45.496641","-122.602877"
"01/19/2020","AQS","410510080","1","0.1","ppm","1","Portland - SE Lafayette","24","100.0000","42101","Carbon monoxide","38900","Portland-Vancouver-Hillsboro, OR-WA","41","Oregon","051","Multnomah","45.496641","-122.602877"
"01/20/2020","AQS","410510080","1","0.1","ppm","1","Portland - SE Lafayette","24","100.0000","42101","Carbon monoxide","38900","Portland-Vancouver-Hillsboro, OR-WA","41","Oregon","051","Multnomah","45.496641","-122.602877"
"01/21/2020","AQS","410510080","1","0.2","ppm","2","Portland - SE Lafayette","24","100.0000","42101","Carbon monoxide","38900","Portland-Vancouver-Hillsboro, OR-WA","41","Oregon","051","Multnomah","45.496641","-122.602877"
"01/22/2020","AQS","410510080","1","0.1","ppm","1","Portland - SE Lafayette","24","100.0000","42101","Carbon monoxide","38900","Portland-Vancouver-Hillsboro, OR-WA","41","Oregon","051","Multnomah","45.496641","-122.602877"
"01/23/2020","AQS","410510080","1","0.2","ppm","2","Portland - SE Lafayette","24","100.0000","42101","Carbon monoxide","38900","Portland-Vancouver-Hillsboro, OR-WA","41","Oregon","051","Multnomah","45.496641","-122.602877"
