"Date","Source","Site ID","POC","Daily Mean PM10 Concentration","UNITS","DAILY_AQI_VALUE","Site Name","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"01/04/2020","AQS","410292129","1","9","ug/m3 SC","8","Medford, Welch and Jackson.","1","100.0000","81102","PM10 Total 0-10um STP","32780","Medford, OR","41","Oregon","029","Jackson","42.33155","-122.880266"
"01/04/2020","AQS","410292129","7","11","ug/m3 SC","10","Medford, Welch and Jackson.","1","100.0000","81102","PM10 Total 0-10um STP","32780","Medford, OR","41","Oregon","029","Jackson","42.33155","-122.880266"
"01/10/2020","AQS","410292129","7","16","ug/m3 SC","15","Medford, Welch and Jackson.","1","100.0000","81102","PM10 Total 0-10um STP","32780","Medford, OR","41","Oregon","029","Jackson","42.33155","-122.880266"
"01/16/2020","AQS","410292129","7","9","ug/m3 SC","8","Medford, Welch and Jackson.","1","100.0000","81102","PM10 Total 0-10um STP","32780","Medford, OR","41","Oregon","029","Jackson","42.33155","-122.880266"
"01/22/2020","AQS","410292129","7","14","ug/m3 SC","13","Medford, Welch and Jackson.","1","100.0000","81102","PM10 Total 0-10um STP","32780","Medford, OR","41","Oregon","029","Jackson","42.33155","-122.880266"
"01/28/2020","AQS","410292129","7","5","ug/m3 SC","5","Medford, Welch and Jackson.","1","100.0000","81102","PM10 Total 0-10um STP","32780","Medford, OR","41","Oregon","029","Jackson","42.33155","-122.880266"
"02/03/2020","AQS","410292129","7","14","ug/m3 SC","13","Medford, Welch and Jackson.","1","100.0000","81102","PM10 Total 0-10um STP","32780","Medford, OR","41","Oregon","029","Jackson","42.33155","-122.880266"
"02/09/2020","AQS","410292129","7","14","ug/m3 SC","13","Medford, Welch and Jackson.","1","100.0000","81102","PM10 Total 0-10um STP","32780","Medford, OR","41","Oregon","029","Jackson","42.33155","-122.880266"
"02/15/2020","AQS","410292129","7","19","ug/m3 SC","18","Medford, Welch and Jackson.","1","100.0000","81102","PM10 Total 0-10um STP","32780","Medford, OR","41","Oregon","029","Jackson","42.33155","-122.880266"
"02/21/2020","AQS","410292129","7","29","ug/m3 SC","27","Medford, Welch and Jackson.","1","100.0000","81102","PM10 Total 0-10um STP","32780","Medford, OR","41","Oregon","029","Jackson","42.33155","-122.880266"
