Fire Year,District,Unit,Fire Number,Fire Name,Legal,Fuel Model,County,Report Date,General Cause,ODF Acres,Total Acres
2020,51 - Tillamook,Tillamook,1,BILLBOARD FIRE,T1S R9W S28 NWNW,A,Tillamook,7/16/20 14:45,Debris Burning,0,0.1
2020,51 - Tillamook,Tillamook,34,MILEPOST 10 FIRE,T1S R8W S9 NWNE,L,Tillamook,7/27/20 13:08,Equipment Use,0.01,0.01
2020,51 - Tillamook,Tillamook,38,DERRICK ROAD FIRE,T3S R10W S17 NWSW,A,Tillamook,8/1/20 15:14,Equipment Use,0.08,0.08
2020,51 - Tillamook,Tillamook,53,32315 BOULDER FIRE,T2N R9W S6 SWNW,H,Tillamook,8/14/20 16:43,Equipment Use,0.23,0.23
2020,51 - Tillamook,Tillamook,68,HWY 6 BOAT FIRE,T1N R7W S2 NWSE,X,Tillamook,9/6/20 16:00,Equipment Use,0.08,0.08
2020,51 - Tillamook,Tillamook,69,Pike Road,T1S R10W S1,,Tillamook,9/7/20 22:00,Under Invest,301,301
2020,51 - Tillamook,Tillamook,70,Blimp Base,T2S R9W S9 SENW,L,Tillamook,9/7/20 22:00,Equipment Use,9,9
2020,51 - Tillamook,Tillamook,71,HWY 6 MP 7,T1S R8W S18 NENE,H,Tillamook,9/9/20 18:36,Equipment Use,0.76,0.76
2020,52 - Astoria,Astoria,1,Windy Ridge,T8N R6W S7 SESE,K,Clatsop,7/1/20 17:05,Juveniles,0.75,0.75
2020,52 - Astoria,Astoria,5,Mire 2.0,T8N R9W S27 NWSW,X,Clatsop,7/8/20 14:41,Debris Burning,0,0.01
2020,52 - Astoria,Astoria,7,Bug Hole Fire,T9N R7W S34 SWNW,L,Clatsop,7/10/20 12:30,Debris Burning,0,0.8
2020,52 - Astoria,Astoria,12,Rusty Hatchet Fire,T8N R7W S21 NENW,H,Clatsop,7/21/20 16:54,Recreationist,0,0.01
2020,52 - Astoria,Astoria,13,Gamagoat,T8N R10W S32 SESE,F,Clatsop,7/25/20 14:00,Recreationist,0.53,0.53
2020,52 - Astoria,Astoria,14,The Good Fire,T8N R10W S27 SENW,H,Clatsop,7/27/20 13:00,Debris Burning,0,0.01
2020,52 - Astoria,Astoria,15,Thousand Gallons,T6N R10W S3 SWNE,L,Clatsop,7/27/20 19:00,Debris Burning,0,0.01
2020,52 - Astoria,Astoria,30,THE DOUBLE TAKE,T9N R11W S35 NENE,U,Clatsop,8/16/20 13:30,Recreationist,0,0.01
2020,52 - Astoria,Astoria,31,Cascara Fire,T5N R9W S20 NENW,F,Clatsop,8/17/20 13:15,Recreationist,0,0.01
2020,52 - Astoria,Astoria,35,Dike Fire,T8N R10W S5 SESE,F,Clatsop,8/20/20 8:00,Recreationist,0,0.01
2020,52 - Astoria,Astoria,47,Lost Lake 4,T4N R7W S17 NWNW,X,Clatsop,9/6/20 21:00,Recreationist,0.01,0.01
2020,52 - Astoria,Astoria,54,Pope-Meeker,T5N R7W S33 NESW,L,Clatsop,9/7/20 23:45,Juveniles,0.01,0.01
